date,AQI,PM2.5,PM10,NO2,SO2,CO,Ozone,fire_count,total_frp,mean_frp,max_frp,mean_wind_kmh,std_wind_kmh,total_frp_lag1,fire_count_lag1,mean_wind_lag1,fire_count_fw,total_frp_fw,weighted_frp_fw,mean_dist_km,min_dist_km,mean_bearing_deg,mean_wind_dir_deg,mean_wind_dir_cos,mean_wind_dir_sin,weighted_frp_lag1,fire_wind_ang_diff,fire_wind_alignment,fire_wind_alignment01,weighted_frp_aligned
2021-01-11,281,135.92,208.99,105.07,10.49,0.75,55.06,55.0,231.8,4.214545454545455,15.1,3.3842808656234324,5.226598589918819,26.46,12.0,3.3842808656234324,55.0,231.8,0.9965775510346399,283.227706158476,7.869195638742841,170.6884403018712,,,,0.09960661892052543,,,,
2021-01-12,329,172.48,220.74,111.52,10.21,0.91,41.69,45.0,93.26,2.0724444444444448,7.21,3.3842808656234324,5.226598589918819,231.8,55.0,3.3842808656234324,45.0,93.26,0.776481271864609,272.09747897482083,7.7525952935064595,182.90673207045577,,,,0.9965775510346399,,,,
2021-01-13,378,224.71,330.04,125.83,7.27,1.22,31.49,53.0,142.86,2.695471698113208,12.74,3.3842808656234324,5.226598589918819,93.26,45.0,3.3842808656234324,53.0,142.86,0.9812999670008168,268.01769520160695,7.881384414861453,177.72566592779856,,,,0.776481271864609,,,,
2021-01-14,422,345.82,417.42,142.59,8.49,1.75,32.11,22.0,132.52,6.023636363636364,21.73,3.3842808656234324,5.226598589918819,142.86,53.0,3.3842808656234324,22.0,132.52,0.5138976665800062,338.6169059647102,51.728067016174,172.48311282251802,,,,0.9812999670008168,,,,
2021-01-15,456,462.62,517.76,178.15,10.11,2.51,25.81,27.0,86.53,3.204814814814815,9.24,3.3842808656234324,5.226598589918819,132.52,22.0,3.3842808656234324,27.0,86.53,0.44141479504229747,313.7738405394744,40.36967904129637,184.08993579381033,,,,0.5138976665800062,,,,
2021-01-16,388,185.66,230.76,124.98,7.39,1.65,27.53,36.0,163.26,4.535,23.39,3.3842808656234324,5.226598589918819,86.53,27.0,3.3842808656234324,36.0,163.26,0.9925264319445388,349.30462803475524,36.51390268634481,185.04459130526325,,,,0.44141479504229747,,,,
2021-01-17,342,222.01,249.23,136.15,9.56,1.4,36.8,59.0,213.72,3.622372881355932,9.64,3.3842808656234324,5.226598589918819,163.26,36.0,3.3842808656234324,59.0,213.72,1.2097334611118808,307.8157547546329,24.251743274605143,161.41943479706856,,,,0.9925264319445388,,,,
2021-01-18,401,232.16,318.1,210.31,14.92,1.32,28.17,44.0,150.3,3.415909090909091,20.92,3.3842808656234324,5.226598589918819,213.72,59.0,3.3842808656234324,44.0,150.3,0.8625348792851503,259.22949542619295,7.91955194637067,168.6891494273824,,,,1.2097334611118808,,,,
2021-01-19,400,227.93,299.28,185.82,12.98,1.69,23.02,68.0,254.11,3.7369117647058823,13.07,3.3842808656234324,5.226598589918819,150.3,44.0,3.3842808656234324,68.0,254.11,1.5835707737291185,265.3865881045241,32.38104946777072,171.5399481696163,,,,0.8625348792851503,,,,
2021-01-20,322,159.91,193.78,142.41,7.45,0.88,31.96,58.0,209.11,3.6053448275862072,22.05,3.3842808656234324,5.226598589918819,254.11,68.0,3.3842808656234324,58.0,209.11,1.2182583643221019,285.4145686785347,21.889579037102042,166.089137071849,,,,1.5835707737291185,,,,
2021-01-21,328,182.39,243.84,276.46,5.6,1.5,33.7,82.0,509.71,6.215975609756097,42.67,3.3842808656234324,5.226598589918819,209.11,58.0,3.3842808656234324,82.0,509.71,2.1244217496477242,272.5574439815128,35.62833378776641,171.6163458424212,,,,1.2182583643221019,,,,
2021-01-22,412,310.98,358.0,181.5,4.4,2.29,26.88,13.0,39.67,3.051538461538461,10.16,3.3842808656234324,5.226598589918819,509.71,82.0,3.3842808656234324,13.0,39.67,0.31730175258988574,146.20621379806838,60.58135442060381,157.8828964623881,,,,2.1244217496477242,,,,
2021-01-23,362,170.36,213.65,143.41,4.06,0.75,34.18,25.0,205.72,8.2288,24.13,3.3842808656234324,5.226598589918819,39.67,13.0,3.3842808656234324,25.0,205.72,2.3681416016432055,186.49395104083996,23.259311804678546,195.01819690371653,,,,0.31730175258988574,,,,
2021-01-24,370,230.38,287.86,123.99,3.05,0.81,27.77,10.0,24.7,2.47,6.18,3.3842808656234324,5.226598589918819,205.72,25.0,3.3842808656234324,10.0,24.7,0.17230341602544438,243.3571426234674,94.81574294480556,126.26852031585884,,,,2.3681416016432055,,,,
2021-01-25,345,186.34,311.67,17.33,6.28,1.25,25.82,21.0,83.59,3.980476190476191,8.59,3.3842808656234324,5.226598589918819,24.7,10.0,3.3842808656234324,21.0,83.59,0.8810720962588912,177.550043495002,43.35972411714925,185.07316554329134,,,,0.17230341602544438,,,,
2021-01-26,369,207.46,344.53,21.93,9.03,1.34,26.24,39.0,124.65,3.1961538461538463,10.37,3.3842808656234324,5.226598589918819,83.59,21.0,3.3842808656234324,39.0,124.65,1.1422425353726124,186.10807706171033,31.41821036956474,154.01688425756333,,,,0.8810720962588912,,,,
2021-01-27,371,216.71,397.43,34.5,7.94,1.23,24.33,66.0,467.23,7.079242424242424,42.84,3.3842808656234324,5.226598589918819,124.65,39.0,3.3842808656234324,66.0,467.23,1.5645371952965619,314.0609378885442,14.90436097089291,157.75122387706597,,,,1.1422425353726124,,,,
2021-01-28,373,294.71,496.55,40.31,9.89,1.9,26.13,66.0,232.94,3.5293939393939397,10.43,3.3842808656234324,5.226598589918819,467.23,66.0,3.3842808656234324,66.0,232.94,1.3099624728008528,258.1832649206794,18.82061375891297,158.08759036550032,,,,1.5645371952965619,,,,
2021-01-29,440,301.61,396.57,118.81,4.94,2.28,21.55,72.0,244.14,3.390833333333333,10.43,3.3842808656234324,5.226598589918819,232.94,66.0,3.3842808656234324,72.0,244.14,1.0596370921048825,291.48642870596234,7.745701619007415,162.26977247169032,,,,1.3099624728008528,,,,
2021-01-30,363,209.05,306.17,99.31,4.76,1.46,30.8,59.0,282.68,4.791186440677966,24.61,3.3842808656234324,5.226598589918819,244.14,72.0,3.3842808656234324,59.0,282.68,2.1294628469811054,251.43158140567888,7.689884650752993,169.94409706095553,,,,1.0596370921048825,,,,
2021-01-31,368,222.87,323.33,123.23,4.43,2.06,26.95,73.0,361.85,4.956849315068493,14.34,3.3842808656234324,5.226598589918819,282.68,59.0,3.3842808656234324,73.0,361.85,1.9756889365353454,311.723742085158,36.247034938108705,164.85229700693822,,,,2.1294628469811054,,,,
2021-02-01,400,285.13,398.91,117.62,4.76,2.09,30.4,47.0,179.04,3.80936170212766,13.88,3.3842808656234324,5.226598589918819,361.85,73.0,3.3842808656234324,47.0,179.04,0.7693059809856116,271.6116249461224,59.1149851464788,166.8215841824324,,,,1.9756889365353454,,,,
2021-02-02,408,304.79,416.62,127.92,6.06,2.5,24.16,65.0,342.76,5.273230769230769,15.84,3.3842808656234324,5.226598589918819,179.04,47.0,3.3842808656234324,65.0,342.76,1.3415824390600177,308.11670935675374,24.445412155258705,171.71046462174854,,,,0.7693059809856116,,,,
2021-02-03,367,209.32,299.0,159.84,3.83,1.92,28.02,55.0,195.82,3.560363636363636,14.54,3.3842808656234324,5.226598589918819,342.76,65.0,3.3842808656234324,55.0,195.82,1.6108278057404872,221.95689112815523,30.44508126419578,157.60675151660473,,,,1.3415824390600177,,,,
2021-02-04,352,134.66,170.25,114.15,3.13,1.04,36.53,10.0,15.35,1.535,3.37,3.3842808656234324,5.226598589918819,195.82,55.0,3.3842808656234324,10.0,15.35,0.1674759450527165,131.96339932476008,60.59491407588141,167.99968219569394,,,,1.6108278057404872,,,,
2021-02-05,142,68.49,116.65,113.61,3.82,0.72,30.54,13.0,36.44,2.803076923076923,9.85,3.3842808656234324,5.226598589918819,15.35,10.0,3.3842808656234324,13.0,36.44,0.5401443461944057,237.6311521309114,24.22865062340415,171.52096514552977,,,,0.1674759450527165,,,,
2021-02-06,261,131.68,182.92,102.59,5.08,0.85,34.79,35.0,174.52,4.986285714285715,22.78,3.3842808656234324,5.226598589918819,36.44,13.0,3.3842808656234324,35.0,174.52,2.789631714933996,223.50199687841342,16.186703223381496,177.09643433913834,,,,0.5401443461944057,,,,
2021-02-07,279,180.68,241.07,96.85,5.47,1.18,34.4,49.0,279.43,5.70265306122449,23.03,3.3842808656234324,5.226598589918819,174.52,35.0,3.3842808656234324,49.0,279.43,1.4535089906455052,276.548546488579,35.2393320153819,150.17780206570797,,,,2.789631714933996,,,,
2021-02-08,375,243.78,369.18,108.35,4.32,1.73,30.28,44.0,160.38,3.645,38.56,3.3842808656234324,5.226598589918819,279.43,49.0,3.3842808656234324,44.0,160.38,0.7921979618530282,282.132948790207,11.148017280494454,153.5728381839333,,,,1.4535089906455052,,,,
2021-02-09,385,226.95,332.06,149.74,4.89,1.89,27.91,69.0,254.55,3.689130434782609,15.55,3.3842808656234324,5.226598589918819,160.38,44.0,3.3842808656234324,69.0,254.55,1.5857736261029878,216.98637466301565,20.329332066233366,159.36150339198048,,,,0.7921979618530282,,,,
2021-02-10,359,250.09,373.71,139.35,5.43,2.4,27.67,91.0,490.4,5.3890109890109885,33.22,3.3842808656234324,5.226598589918819,254.55,69.0,3.3842808656234324,91.0,490.4,3.7206555195167423,222.98258673912153,35.96380983443585,160.096741528194,,,,1.5857736261029878,,,,
