date,frp_total,c_delhi_peak,c_delhi_integrated,wind_speed
2021-01-01,52.59,0.010394400281309344,0.19220920830433091,1.2152083333333332
2021-01-02,0.0,0.0,0.0,
2021-01-03,13.990000000000002,0.010970212788280843,0.13384055835688852,1.2152083333333332
2021-01-04,18.03,0.03880348449347906,0.9702718849260511,1.2152083333333332
2021-01-05,0.0,0.0,0.0,
2021-01-06,1.4,2.2936693355822208e-17,6.887849727549531e-17,1.2152083333333332
2021-01-07,2.6,6.901457299930024e-06,2.8536770682979906e-05,1.2152083333333332
2021-01-08,17.43,5.309101141330895e-08,1.8108127660511888e-07,1.2152083333333332
2021-01-09,22.07,3.9669258149711476e-05,0.00016927901513207264,1.2152083333333332
2021-01-10,13.35,2.7305446530265804e-11,8.295714448633033e-11,1.2152083333333332
2021-01-11,70.84,0.10661074454860116,3.0758383401848124,1.2152083333333332
2021-01-12,16.78,0.0036502065884074664,0.037559033031950656,1.2152083333333332
2021-01-13,23.19,2.1790217192638862e-17,6.543564794360961e-17,1.2152083333333332
2021-01-14,23.990000000000002,3.61019586705576e-19,1.0832495200135688e-18,1.2152083333333332
2021-01-15,13.280000000000001,5.472039813534773e-17,1.6432441831662587e-16,1.2152083333333332
2021-01-16,13.95,2.162643536002982e-17,6.494381375404425e-17,1.2152083333333332
2021-01-17,135.69,0.0279457963556959,0.4676929174330202,1.2152083333333332
2021-01-18,49.050000000000004,0.005114638734830732,0.035219723849142716,1.2152083333333332
2021-01-19,126.63,0.03238760926415051,0.4984591484748383,1.2152083333333332
2021-01-20,73.67,0.04416017388532273,0.7388143549423085,1.2152083333333332
2021-01-21,158.05,0.0077967926958363324,0.11330549266648218,1.2152083333333332
2021-01-22,18.12,0.034049839986607926,0.4163642474614042,1.2152083333333332
2021-01-23,17.97,0.05655553379987048,0.9673299550653571,1.2152083333333332
2021-01-24,17.59,0.010591067844985464,0.08218332681332362,1.2152083333333332
2021-01-25,13.93,2.072605966823157e-06,7.0612694836891e-06,1.2152083333333332
2021-01-26,78.57999999999998,0.1362319521970706,1.7553150093814582,1.2152083333333332
2021-01-27,106.88,0.11233358678837885,1.4233319930666446,1.2152083333333332
2021-01-28,121.87,0.02239687355611255,0.42374163464649633,1.2152083333333332
2021-01-29,142.61,0.023799895672226408,0.4834631565741015,1.2152083333333332
2021-01-30,128.84,5.884443512281713e-05,0.00023664864575802873,1.2152083333333332
2021-01-31,149.46,0.0035184501006762896,0.028721726266238916,1.2152083333333332
2021-02-01,93.11,0.0579644872270926,0.6740514473899779,1.2152083333333332
2021-02-02,165.82000000000002,0.013662344880317777,0.16786901397552473,1.2152083333333332
2021-02-03,95.5,0.30927794013207144,7.751823214152509,1.2152083333333332
2021-02-04,2.5100000000000002,0.009972773920643073,0.16226785937081215,1.2152083333333332
2021-02-05,20.89,1.324635057494122e-05,5.477220437760471e-05,1.2152083333333332
2021-02-06,92.60000000000001,2.1578158775510169e-07,6.954147789672111e-07,1.2152083333333332
2021-02-07,240.85999999999999,0.21535695152705908,3.1715708332537673,1.2152083333333332
2021-02-08,137.92,0.050072035273722636,0.554827399364628,1.2152083333333332
2021-02-09,173.10999999999999,0.09632477424586007,2.41129833496394,1.2152083333333332
2021-02-10,339.29999999999995,0.33425355783607047,7.874821522727946,1.2152083333333332
2021-02-11,74.18,0.14521358594244935,3.175441974098443,1.2152083333333332
2021-02-12,60.24000000000001,0.21961757668962115,4.9712511431551425,1.2152083333333332
2021-02-13,88.79,0.17473877599910007,4.085993802735807,1.2152083333333332
2021-02-14,164.94,0.15117963509891075,3.2901230047596943,1.2152083333333332
2021-02-15,62.11,0.3471040532132138,8.82953303910696,1.2152083333333332
2021-02-16,61.25,5.300859281775592e-22,1.5902750382635244e-21,1.2152083333333332
2021-02-17,93.24,0.037793123970193056,0.9313272184040816,1.2152083333333332
2021-02-18,226.99999999999997,0.07926320927084364,2.647721453200787,1.2152083333333332
2021-02-19,149.06,0.0379643533927459,0.8186301767024917,1.2152083333333332
2021-02-20,149.79,0.054251685752217026,1.397790420808603,1.2152083333333332
2021-02-21,150.49,0.04813048696695506,1.0912254732725155,1.2152083333333332
2021-02-22,140.39,0.2567848181593743,5.873387507631708,1.2152083333333332
2021-02-23,68.03,0.10865494057426173,2.7156643088337837,1.2152083333333332
2021-02-24,137.58,0.007984083705794285,0.1269157385620151,1.2152083333333332
2021-02-25,223.12,0.04976118928724972,1.3568528039806302,1.2152083333333332
2021-02-26,271.58,0.15293282369574698,4.505303569513357,1.2152083333333332
2021-02-27,397.11999999999995,0.02717438770088888,0.35253698143216117,1.2152083333333332
2021-02-28,409.49000000000007,0.05859210907979822,0.8585962057119347,1.2152083333333332
2021-03-01,109.85,0.005237339308003185,0.08502311036317965,1.2152083333333332
2021-03-02,207.95999999999998,0.009910231731719251,0.15378713790839502,1.2152083333333332
2021-03-03,143.32,0.007006884851942908,0.059853265816243006,1.2152083333333332
2021-03-04,194.89,0.014542913487906848,0.2345052823928544,1.2152083333333332
2021-03-05,231.66,0.016084028682331143,0.24600087834499362,1.2152083333333332
2021-03-06,199.5,0.0007540207655525703,0.004589642025436609,1.2152083333333332
2021-03-07,9.11,0.000126039069225588,0.0006071800509001189,1.2152083333333332
2021-03-08,67.4,0.08950728334106824,1.094737079798324,1.2152083333333332
2021-03-09,139.92,0.00558190203057749,0.057580774057723744,1.2152083333333332
2021-03-10,24.810000000000002,2.269050534017046e-22,6.807266486354667e-22,1.2152083333333332
2021-03-11,86.50999999999999,0.15771484102645397,2.464337085904906,1.2152083333333332
