model,rmse,mae,r2
LinearRegression,35.99169029230793,24.60163589470657,0.868372871807001
Ridge,36.01477140535628,24.641585548488973,0.8682039953383923
HistGB,37.84389819466739,27.5176975394707,0.8544766610141264
RandomForest,37.85949405097176,27.137667657730116,0.8543566929956781
