lag_days,n,r,p,ci_low,ci_high
0,1461,0.17686544128177342,9.876764091267749e-12,0.14123381408796393,0.2139768133886251
1,1460,0.17224429157939083,3.463473366014941e-11,0.13609197626128575,0.21167955938069818
2,1459,0.1722782874337925,3.485728538270758e-11,0.13608021337272985,0.21345500157133532
3,1458,0.1686600403030519,9.109659615697281e-11,0.13226393136303125,0.21093323224098048
4,1457,0.16328029560070706,3.627060395081145e-10,0.12640236004449043,0.2056457559025548
5,1456,0.154950187327117,2.792145487458801e-09,0.11284790913504326,0.19992055071173787
6,1455,0.13701807474053795,1.5480396874019986e-07,0.10555168263854946,0.17692905692391195
7,1454,0.13900994307420597,1.026685934896135e-07,0.10456682473723876,0.17404379392736682
