date,AQI,frp_total,c_delhi_peak,c_delhi_integrated,wind_speed,month,season,season_bearing,ang_diff_to_target,wind_toward_delhi
2022-06-08,341,749.5999999999999,0.7345375077314045,6.972861543238533,4.381052631578947,6,JJA,45.0,95.71703801874162,False
2022-06-09,237,678.96,0.0013731070914268,0.0122688874838582,4.795744680851064,6,JJA,45.0,95.71703801874162,False
2022-06-10,293,549.2900000000001,0.0109714321753921,0.1379926327564347,5.062765957446809,6,JJA,45.0,95.71703801874162,False
2022-06-11,276,560.86,0.0783367692287657,0.8724737887467564,5.205319148936169,6,JJA,45.0,95.71703801874162,False
2022-06-12,284,322.57000000000005,0.0664623565567789,0.4311733400989269,5.456842105263157,6,JJA,45.0,95.71703801874162,False
2022-06-13,208,527.45,0.1379858422794911,0.7721296766645199,6.181052631578947,6,JJA,45.0,95.71703801874162,False
2022-06-14,221,974.94,0.2147154756057007,2.268939595865521,5.206315789473684,6,JJA,45.0,95.71703801874162,False
2022-06-15,157,70.97,9.934428799153832e-05,0.0002988409079882,5.264893617021277,6,JJA,45.0,95.71703801874162,False
2022-06-16,135,206.72,0.1752131909863536,1.1351511553108449,5.906315789473683,6,JJA,45.0,95.71703801874162,False
2022-06-17,81,0.0,0.0,0.0,,6,JJA,45.0,95.71703801874162,False
2022-06-18,65,1.74,1.302894706106505e-13,1.1630617641841792e-12,5.954736842105262,6,JJA,45.0,95.71703801874162,False
2022-06-19,130,6.1,0.0040312766666493,0.0306574082433808,5.762105263157895,6,JJA,45.0,95.71703801874162,False
2022-06-20,208,11.16,0.0450283252894235,0.2578008086952277,5.903157894736841,6,JJA,45.0,95.71703801874162,False
2022-06-21,120,2.18,0.0027081751226774,0.0219163769534672,5.962105263157895,6,JJA,45.0,95.71703801874162,False
2022-06-22,138,4.890000000000001,0.0055597455774953,0.0219816237783989,5.847368421052631,6,JJA,45.0,95.71703801874162,False
2022-06-23,148,97.33,0.0783419277893897,0.8246865686919838,5.847368421052631,6,JJA,45.0,95.71703801874162,False
2022-06-24,210,375.39,0.2665065664330956,1.6906968893061798,5.636842105263158,6,JJA,45.0,95.71703801874162,False
2022-06-25,199,490.61,0.1743083278706139,0.8254241702652281,5.423157894736842,6,JJA,45.0,95.71703801874162,False
2022-06-26,206,440.04,0.4074582736799159,2.753703398398283,5.912631578947368,6,JJA,45.0,95.71703801874162,False
2022-06-27,118,259.27,0.2044741350657046,1.4300868328769094,5.746315789473684,6,JJA,45.0,95.71703801874162,False
2022-06-28,160,39.07000000000001,0.0313322520773078,0.2899100393489913,6.737804878048781,6,JJA,45.0,95.71703801874162,False
2022-06-29,162,159.56,0.238785303090363,1.7076071171225045,6.105263157894737,6,JJA,45.0,95.71703801874162,False
2022-06-30,154,0.0,0.0,0.0,,6,JJA,45.0,95.71703801874162,False
2022-07-01,64,2.6,0.0115865557976964,0.174298768992693,3.28125,7,JJA,45.0,95.71703801874162,False
2022-07-02,92,22.81,6.261583292488067e-05,0.0002033837486908,4.794791666666666,7,JJA,45.0,95.71703801874162,False
2022-07-03,84,0.0,0.0,0.0,,7,JJA,45.0,95.71703801874162,False
2022-07-04,101,35.65,0.0005613091235414,0.0023953569731695,4.894623655913978,7,JJA,45.0,95.71703801874162,False
2022-07-05,133,45.8,0.0057078863936333,0.0596527760544258,3.958064516129032,7,JJA,45.0,95.71703801874162,False
2022-07-06,100,3.75,0.0054161262972115,0.0441681222308401,5.6204301075268805,7,JJA,45.0,95.71703801874162,False
2022-07-07,97,1.53,4.946519696230404e-13,1.6438905142639617e-12,4.532978723404255,7,JJA,45.0,95.71703801874162,False
2022-07-08,89,3.12,1.38583500790373e-05,4.1843886356584e-05,4.475,7,JJA,45.0,95.71703801874162,False
2022-07-09,111,0.0,0.0,0.0,,7,JJA,45.0,95.71703801874162,False
2022-07-10,66,1.37,0.0003038779409941,0.0034482402958979,3.025531914893617,7,JJA,45.0,95.71703801874162,False
2022-07-11,98,50.0,0.2117032951288778,1.9111370042227145,4.264444444444444,7,JJA,45.0,95.71703801874162,False
2022-07-12,84,9.31,0.0715396107380899,0.825031684974838,3.810958904109589,7,JJA,45.0,95.71703801874162,False
2022-07-13,82,24.77,4.572324612392904e-16,1.3729689917271574e-15,1.2152083333333332,7,JJA,45.0,95.71703801874162,False
2022-07-14,88,0.0,0.0,0.0,,7,JJA,45.0,95.71703801874162,False
2022-07-15,92,1.56,0.0064094132070899,0.0674953521251658,3.943617021276596,7,JJA,45.0,95.71703801874162,False
2022-07-16,87,18.89,0.0010167979932962,0.003138660344027,4.987368421052631,7,JJA,45.0,95.71703801874162,False
2022-07-17,96,7.68,0.0031109955493298,0.0131274472090929,4.925263157894737,7,JJA,45.0,95.71703801874162,False
2022-07-18,140,18.83,1.6185037994506e-07,5.089624437812195e-07,1.6214285714285714,7,JJA,45.0,95.71703801874162,False
2022-07-19,124,0.0,0.0,0.0,,7,JJA,45.0,95.71703801874162,False
2022-07-20,86,0.0,0.0,0.0,,7,JJA,45.0,95.71703801874162,False
2022-07-21,53,0.0,0.0,0.0,,7,JJA,45.0,95.71703801874162,False
2022-07-22,171,4.57,0.0339388320904227,0.7127931400255227,2.04,7,JJA,45.0,95.71703801874162,False
2022-07-23,71,0.0,0.0,0.0,,7,JJA,45.0,95.71703801874162,False
2022-07-24,59,1.52,0.000198588726176,0.0008979426595435,2.114736842105263,7,JJA,45.0,95.71703801874162,False
2022-07-25,56,1.99,0.000596852039981,0.0087001553132195,3.783157894736842,7,JJA,45.0,95.71703801874162,False
2022-07-26,60,2.31,1.06762307166663e-06,3.2767643802883424e-06,3.027368421052631,7,JJA,45.0,95.71703801874162,False
2022-07-27,55,0.0,0.0,0.0,,7,JJA,45.0,95.71703801874162,False
2022-07-28,52,0.56,4.251359509966929e-17,1.2765763754066651e-16,1.5936842105263158,7,JJA,45.0,95.71703801874162,False
2022-07-29,47,0.0,0.0,0.0,,7,JJA,45.0,95.71703801874162,False
2022-07-30,47,0.0,0.0,0.0,,7,JJA,45.0,95.71703801874162,False
2022-07-31,50,0.0,0.0,0.0,,7,JJA,45.0,95.71703801874162,False
2022-08-01,48,0.0,0.0,0.0,,8,JJA,45.0,95.71703801874162,False
2022-08-02,216,0.0,0.0,0.0,,8,JJA,45.0,95.71703801874162,False
2022-08-03,125,0.0,0.0,0.0,,8,JJA,45.0,95.71703801874162,False
2022-08-04,99,3.39,0.0250166384693161,0.4462378168008167,2.6390804597701147,8,JJA,45.0,95.71703801874162,False
2022-08-05,56,0.0,0.0,0.0,,8,JJA,45.0,95.71703801874162,False
2022-08-06,88,1.63,3.578640104915502e-10,1.077565943895704e-09,2.4315789473684206,8,JJA,45.0,95.71703801874162,False
2022-08-07,127,0.0,0.0,0.0,,8,JJA,45.0,95.71703801874162,False
2022-08-08,68,0.0,0.0,0.0,,8,JJA,45.0,95.71703801874162,False
2022-08-09,115,2.08,8.069421867071393e-20,2.4242783961754964e-19,0.5074074074074074,8,JJA,45.0,95.71703801874162,False
2022-08-10,87,6.8,4.827121378788182e-29,1.448172387894437e-28,0.1572916666666666,8,JJA,45.0,95.71703801874162,False
2022-08-11,62,2.7,0.0033338687122544,0.0372456926086187,0.5208333333333334,8,JJA,45.0,95.71703801874162,False
2022-08-12,52,6.66,4.045195565815308e-09,1.4872281591714924e-08,0.2708333333333333,8,JJA,45.0,95.71703801874162,False
2022-08-13,58,0.0,0.0,0.0,,8,JJA,45.0,95.71703801874162,False
2022-08-14,53,18.88,1.1842287516385383e-09,3.555117942530315e-09,3.434375,8,JJA,45.0,95.71703801874162,False
2022-08-15,47,0.0,0.0,0.0,,8,JJA,45.0,95.71703801874162,False
2022-08-16,47,2.16,0.0001084508240087,0.000891681075097,5.820833333333333,8,JJA,45.0,95.71703801874162,False
2022-08-17,48,5.390000000000001,0.0240389477475243,0.2305471560485485,6.255208333333333,8,JJA,45.0,95.71703801874162,False
2022-08-18,48,1.04,0.0050349941641564,0.0391900424270329,5.679166666666666,8,JJA,45.0,95.71703801874162,False
2022-08-19,59,0.0,0.0,0.0,,8,JJA,45.0,95.71703801874162,False
2022-08-20,69,5.3100000000000005,0.0200528955819213,0.1828669862051975,5.64375,8,JJA,45.0,95.71703801874162,False
2022-08-21,93,10.62,0.0015654092090708,0.0144007132662389,5.694791666666666,8,JJA,45.0,95.71703801874162,False
2022-08-22,93,7.24,0.0027551816196849,0.0248883619883762,5.762499999999999,8,JJA,45.0,95.71703801874162,False
2022-08-23,69,3.18,0.0061727165927785,0.050487892675182,5.933333333333333,8,JJA,45.0,95.71703801874162,False
2022-08-24,51,0.0,0.0,0.0,,8,JJA,45.0,95.71703801874162,False
2022-08-25,77,3.31,1.7417420335976712e-08,1.8336409373732706e-07,5.711458333333333,8,JJA,45.0,95.71703801874162,False
2022-08-26,105,0.0,0.0,0.0,,8,JJA,45.0,95.71703801874162,False
2022-08-27,92,0.0,0.0,0.0,,8,JJA,45.0,95.71703801874162,False
