date,avg_aqi,mean_temp,humidity,mean_wind_kmh,std_wind_kmh,fire_count,total_frp
2020-05-25,,,,,,1408.0,10215.18
2020-05-26,,,,,,1201.0,7194.91
2020-05-27,,,,,,936.0,5812.07
2020-05-28,,,,,,1031.0,7038.12
2020-05-29,,,,,,645.0,3334.02
2020-05-30,,,,,,524.0,2027.86
2020-05-31,,,,,,503.0,2393.86
2020-06-01,,,,,,237.0,1471.35
2020-06-02,,,,,,205.0,1237.07
2020-06-03,,,,,,181.0,729.34
2020-06-04,,,,,,342.0,1202.97
2020-06-05,,,,,,541.0,1533.67
2020-06-06,,,,,,447.0,2042.3
2020-06-07,,,,,,269.0,2173.66
2020-06-08,,,,,,444.0,1833.54
2020-06-09,,,,,,391.0,1803.77
2020-06-10,,,,,,299.0,1056.13
2020-06-11,,,,,,104.0,388.48
2020-06-12,,,,,,54.0,380.17
2020-06-13,,,,,,122.0,519.95
2020-06-14,,,,,,96.0,418.05
2020-06-15,,,,,,90.0,459.52
2020-06-16,,,,,,78.0,303.53
2020-06-17,,,,,,88.0,793.6700000000001
2020-06-18,,,,,,149.0,1077.03
2020-06-19,,,,,,142.0,452.46
2020-06-20,,,,,,96.0,340.94
2020-06-21,,,,,,73.0,817.6
2020-06-22,,,,,,63.0,210.45
2020-06-23,,,,,,155.0,2606.17
2020-06-24,,,,,,217.0,691.4
2020-06-25,,,,,,74.0,259.09
2020-06-26,,,,,,29.0,102.14999999999999
2020-06-27,,,,,,48.0,281.38
2020-06-28,,,,,,114.0,492.96
2020-06-29,,,,,,116.0,372.59
2020-06-30,,,,,,204.0,697.77
2020-07-01,,,,,,275.0,848.39
2020-07-02,,,,,,135.0,379.55
2020-07-03,,,,,,90.0,269.05
2020-07-04,,,,,,109.0,456.15
2020-07-05,,,,,,38.0,109.56
2020-07-06,,,,,,75.0,216.85
2020-07-07,,,,,,51.0,233.41
2020-07-08,,,,,,11.0,48.15
2020-07-09,,,,,,49.0,123.83
2020-07-10,,,,,,48.0,170.55
2020-07-11,,,,,,46.0,102.78
2020-07-12,,,,,,121.0,404.53000000000003
2020-07-13,,,,,,29.0,84.03
2020-07-14,,,,,,31.0,537.35
2020-07-15,,,,,,125.0,331.31
2020-07-16,,,,,,115.0,277.54
2020-07-17,,,,,,136.0,390.46
2020-07-18,,,,,,115.0,214.82
2020-07-19,,,,,,24.0,96.66
2020-07-20,,,,,,52.0,575.44
2020-07-21,,,,,,42.0,104.06
2020-07-22,,,,,,37.0,139.56
2020-07-23,,,,,,22.0,38.54
2020-07-24,,,,,,52.0,87.77
2020-07-25,,,,,,162.0,359.11
2020-07-26,,,,,,187.0,512.25
2020-07-27,,,,,,71.0,291.59
2020-07-28,,,,,,27.0,62.14
2020-07-29,,,,,,101.0,248.39000000000001
2020-07-30,,,,,,80.0,206.37
2020-07-31,,,,,,80.0,1973.72
2020-08-01,,,,,,84.0,289.14
2020-08-02,,,,,,91.0,340.4
2020-08-03,,,,,,72.0,153.8
2020-08-04,,,,,,18.0,88.41
2020-08-05,,,,,,13.0,44.519999999999996
2020-08-06,,,,0.0,0.0,29.0,115.58
