date,AQI,fire_count,frp_sum,frp_max,AQI_7d,fire_7d,wind_mean_kmh,wind_median_kmh,lag_days_est,fire_count_transport_shifted
2022-05-06,364,1414,8167.58,80.96,321.85714285714283,1222.2857142857142,0.26595744680851063,0.0,3,36
2022-05-07,335,1402,12021.27,97.15,315.85714285714283,1302.2857142857142,0.17052631578947366,0.0,3,1483
2022-05-08,312,1214,7431.46,87.73,298.14285714285717,1148.857142857143,0.3168421052631579,0.0,3,2247
2022-05-09,267,760,4100.87,76.4,273.7142857142857,888.1428571428571,0.6053191489361702,0.0,3,1414
2022-05-10,244,596,2618.14,28.59,256.2857142857143,741.2857142857143,0.42083333333333334,0.05,3,1402
2022-05-11,200,409,1782.65,27.76,252.71428571428572,570.7142857142857,0.409375,0.0,3,1214
2022-05-12,194,422,2823.97,38.42,250.28571428571428,452.0,0.425,0.0,3,760
2022-05-13,242,386,2488.67,33.01,250.0,357.2857142857143,0.32708333333333334,0.0,3,596
2022-05-14,310,208,1626.03,73.64,244.57142857142858,289.2857142857143,0.30416666666666664,0.0,3,409
2022-05-15,295,383,3003.23,32.74,258.2857142857143,264.85714285714283,0.5187499999999999,0.0,3,422
2022-05-16,265,97,398.96,16.11,268.42857142857144,218.14285714285714,0.37395833333333334,0.0,3,386
2022-05-17,206,120,767.49,24.34,275.0,192.28571428571428,0.29375,0.0,3,208
2022-05-18,296,238,1366.14,38.25,270.7142857142857,186.71428571428572,0.46458333333333335,0.0,3,383
2022-05-19,265,95,421.82,29.98,266.85714285714283,159.71428571428572,0.3614583333333334,0.0,3,97
2022-05-20,288,205,997.22,19.16,250.57142857142858,148.71428571428572,0.42604166666666665,0.0,3,120
2022-05-21,280,169,543.34,26.57,231.57142857142858,133.0,0.5,0.0,3,238
2022-05-22,268,194,945.35,23.64,218.14285714285714,103.85714285714286,0.30104166666666665,0.0,3,95
2022-05-23,151,20,152.24,53.52,212.0,95.28571428571429,1.3133333333333332,0.6,3,205
2022-05-24,73,10,21.080000000000002,5.03,204.85714285714286,72.42857142857143,0.5545454545454546,0.15000000000000002,3,169
2022-05-25,202,34,175.69,17.12,190.28571428571428,52.57142857142857,0.11964285714285715,0.0,3,194
2022-05-26,222,35,120.75,12.06,180.0,31.285714285714285,0.14479166666666668,0.0,3,20
2022-05-27,238,45,405.03000000000003,34.74,184.71428571428572,29.0,0.19895833333333335,0.0,3,10
2022-05-28,178,30,122.98,12.14,205.42857142857142,31.0,0.6170212765957447,0.1,3,34
2022-05-29,196,45,225.23,42.67,226.42857142857142,34.42857142857143,0.32134831460674157,0.0,3,35
2022-05-30,184,4,5.62,2.24,227.42857142857142,45.42857142857143,0.7566265060240963,0.0,3,45
2022-05-31,218,24,143.94,15.41,237.0,60.0,0.5175824175824176,0.0,3,30
2022-06-01,349,58,261.66,19.46,248.0,71.57142857142857,1.4957894736842106,0.0,3,45
2022-06-02,229,112,684.84,112.6,254.85714285714286,84.28571428571429,1.6326086956521737,0.0,3,4
2022-06-03,305,147,857.23,36.89,256.42857142857144,103.57142857142857,1.0829787234042554,0.0,3,24
2022-06-04,255,111,555.64,41.93,262.7142857142857,121.57142857142857,1.0463157894736843,0.0,3,58
2022-06-05,244,134,659.34,30.76,261.57142857142856,134.28571428571428,0.6681318681318682,0.0,3,112
2022-06-06,195,139,696.83,50.83,262.7142857142857,136.85714285714286,0.653763440860215,0.0,3,147
2022-06-07,262,150,658.83,22.05,261.0,131.0,1.8968421052631579,0.0,3,111
2022-06-08,341,147,749.6,49.96,264.0,127.0,4.381052631578947,0.0,2,139
2022-06-09,237,130,678.96,44.53,269.7142857142857,119.42857142857143,4.7957446808510635,0.0,2,150
2022-06-10,293,106,549.29,48.44,271.57142857142856,116.14285714285714,5.062765957446809,0.2,2,147
2022-06-11,276,83,560.86,50.38,265.7142857142857,117.85714285714286,5.205319148936169,0.30000000000000004,2,130
2022-06-12,284,81,322.57,17.91,239.42857142857142,99.0,5.456842105263157,0.1,2,106
2022-06-13,208,116,527.45,25.08,224.85714285714286,88.0,6.181052631578947,0.2,2,83
2022-06-14,221,162,974.94,58.53,194.57142857142858,72.85714285714286,5.206315789473684,0.8,2,81
2022-06-15,157,15,70.97,9.62,164.42857142857142,61.285714285714285,5.264893617021277,0.2,2,116
2022-06-16,135,53,206.72,10.83,142.42857142857142,50.57142857142857,5.906315789473683,0.0,2,162
2022-06-17,81,0,0.0,0.0,142.42857142857142,34.42857142857143,6.552631578947368,1.3,1,53
2022-06-18,65,2,1.74,0.95,128.0,11.428571428571429,5.954736842105262,0.2,2,53
2022-06-19,130,6,6.1,1.57,125.28571428571429,9.857142857142858,5.762105263157895,0.0,2,0
2022-06-20,208,3,11.16,4.18,127.14285714285714,7.285714285714286,5.903157894736841,0.0,2,2
2022-06-21,120,1,2.18,2.18,145.57142857142858,17.571428571428573,5.962105263157895,0.4,2,6
2022-06-22,138,4,4.890000000000001,2.64,164.71428571428572,32.57142857142857,5.847368421052631,0.2,2,3
2022-06-23,148,35,97.33,8.74,175.57142857142858,45.0,5.847368421052631,0.4,2,1
2022-06-24,210,72,375.39,20.4,162.71428571428572,50.714285714285715,5.636842105263158,0.0,2,4
2022-06-25,199,107,490.61,48.49,168.42857142857142,52.142857142857146,5.423157894736842,0.0,2,35
2022-06-26,206,93,440.04,17.21,171.85714285714286,57.0,5.912631578947368,0.0,2,72
2022-06-27,118,43,259.27,12.67,172.71428571428572,52.0,5.746315789473684,0.0,2,107
2022-06-28,160,11,39.07,5.72,151.85714285714286,42.0,6.737804878048781,0.05,1,43
2022-06-29,162,38,159.56,8.7,136.57142857142858,27.428571428571427,6.105263157894737,0.7,2,43
2022-06-30,154,0,0.0,0.0,119.14285714285714,14.142857142857142,5.433684210526315,0.8,2,11
2022-07-01,64,2,2.6,1.48,116.71428571428571,8.857142857142858,3.28125,0.0,3,11
2022-07-02,92,5,22.810000000000002,6.74,112.85714285714286,9.142857142857142,4.794791666666666,0.0,2,0
2022-07-03,84,0,0.0,0.0,104.0,4.285714285714286,5.685416666666666,0.4,2,2
2022-07-04,101,6,35.65,13.17,95.85714285714286,4.428571428571429,4.894623655913978,0.0,2,5
2022-07-05,133,13,45.8,6.25,99.42857142857143,4.285714285714286,3.9580645161290318,0.0,2,0
2022-07-06,100,4,3.75,1.16,102.14285714285714,3.5714285714285716,5.6204301075268805,0.2,2,6
2022-07-07,97,1,1.53,1.53,99.57142857142857,3.857142857142857,4.532978723404255,0.0,2,13
2022-07-08,89,1,3.12,3.12,99.14285714285714,4.571428571428571,4.475,0.0,2,4
2022-07-09,111,0,0.0,0.0,92.14285714285714,3.2857142857142856,4.622340425531915,0.15000000000000002,2,1
2022-07-10,66,2,1.37,0.8,89.57142857142857,3.4285714285714284,3.025531914893617,0.0,3,1
2022-07-11,98,11,50.0,12.23,88.28571428571429,3.2857142857142856,4.264444444444444,0.0,2,0
2022-07-12,84,4,9.31,4.99,88.71428571428571,3.4285714285714284,3.810958904109589,0.0,3,0
2022-07-13,82,5,24.77,7.57,85.28571428571429,4.0,,,0,5
2022-07-14,88,0,0.0,0.0,89.57142857142857,4.142857142857143,2.7484210526315787,0.0,3,11
2022-07-15,92,2,1.56,0.83,95.57142857142857,3.0,3.9436170212765957,0.0,2,5
2022-07-16,87,4,18.89,8.18,101.28571428571429,2.4285714285714284,4.987368421052631,0.1,2,0
2022-07-17,96,3,7.68,3.65,101.85714285714286,1.7142857142857142,4.925263157894737,0.0,2,2
