model,rmse,mae,best_params
RF_randomized,30.1200612745043,21.02934829602188,"{'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 120}"
GB_randomized,30.65315022886161,21.53054920397711,"{'learning_rate': np.float64(0.014789875666064259), 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 466, 'subsample': np.float64(0.8416317594127292)}"
