date,avg_aqi,fire_count,avg_frp,total_frp,avg_distance,avg_wind_speed,max_wind_speed
2024-01-01,360.88235294117646,5.0,13.184000000000001,65.92,411.9852461060276,0.0,0.0
2024-01-02,360.88235294117646,1.0,0.91,0.91,411.9146585220841,0.0,0.0
2024-01-03,360.88235294117646,2.0,1.6099999999999999,3.2199999999999998,299.73265675846505,0.0,0.0
2024-01-04,360.88235294117646,5.0,19.608,98.04,288.8131193517838,0.0,0.0
2024-01-05,360.88235294117646,4.0,1.4,5.6,383.19263076759967,0.0,0.0
2024-01-06,360.88235294117646,3.0,11.863333333333335,35.59,437.4726145259618,0.0,0.0
2024-01-07,360.88235294117646,1.0,7.44,7.44,439.2831114630232,0.0,0.0
2024-01-08,360.88235294117646,1.0,7.53,7.53,408.4579450468519,0.0,0.0
2024-01-09,360.88235294117646,3.0,2.32,6.96,372.14667080766986,0.0,0.0
2024-01-10,360.88235294117646,16.0,2.85125,45.62,349.1334193289446,0.0,0.0
2024-01-11,360.88235294117646,20.0,1.9995,39.99,394.99008829624483,0.0,0.0
2024-01-12,360.88235294117646,16.0,4.334375,69.35,401.7937699115949,0.0,0.0
2024-01-13,360.88235294117646,11.0,2.9063636363636363,31.97,404.82180578481837,0.0,0.0
2024-01-14,360.88235294117646,10.0,4.771,47.71,426.9526009209909,0.0,0.0
2024-01-15,360.88235294117646,19.0,7.1352631578947365,135.57,418.2052166089543,0.0,0.0
2024-01-16,360.88235294117646,10.0,6.29,62.9,395.5171566466861,0.0,0.0
2024-01-17,360.88235294117646,13.0,3.7869230769230766,49.23,340.63079036773263,0.0,0.0
2024-01-18,360.88235294117646,1.0,3.19,3.19,446.2367394358706,0.0,0.0
2024-01-19,360.88235294117646,2.0,3.6999999999999997,7.3999999999999995,437.695431247317,0.0,0.0
2024-01-20,360.88235294117646,1.0,0.99,0.99,386.6133565542718,0.0,0.0
2024-01-21,360.88235294117646,6.0,1.735,10.41,398.0332810150382,0.0,0.0
2024-01-22,360.88235294117646,6.0,3.0116666666666667,18.07,393.0088093273783,0.0,0.0
2024-01-23,360.88235294117646,5.0,2.322,11.61,321.81523912861155,0.0,0.0
2024-01-24,360.88235294117646,3.0,3.856666666666667,11.57,355.15292803297115,0.0,0.0
2024-01-25,360.88235294117646,2.0,4.39,8.78,383.238926846178,0.0,0.0
2024-01-26,360.88235294117646,32.0,5.6934375,182.19,359.53749265293675,0.0,0.0
2024-01-27,360.88235294117646,38.0,3.5789473684210527,136.0,360.74049924645277,0.0,0.0
2024-01-28,360.88235294117646,6.0,2.1016666666666666,12.61,415.5764086483441,0.0,0.0
2024-01-29,360.88235294117646,10.0,3.2020000000000004,32.02,358.9016031789779,0.0,0.0
2024-01-30,360.88235294117646,4.0,2.9175,11.67,232.35528177590513,0.0,0.0
2024-01-31,360.88235294117646,6.0,1.7249999999999999,10.35,333.556895382597,0.0,0.0
2024-02-01,360.88235294117646,4.0,0.75,3.0,372.79832628522877,0.0,0.0
2024-02-02,361.0366748166259,3.0,4.12,12.360000000000001,358.86506708373355,0.0,0.0
2024-02-03,360.88235294117646,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-04,360.88235294117646,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-05,360.88235294117646,5.0,1.1039999999999999,5.52,356.4416237494348,0.0,0.0
2024-02-06,360.88235294117646,7.0,1.0971428571428572,7.68,360.98669570178606,0.0,0.0
2024-02-07,360.88235294117646,8.0,2.05,16.4,380.54726727026787,0.0,0.0
2024-02-08,360.88235294117646,22.0,4.690454545454545,103.19,359.46846608231397,0.0,0.0
2024-02-09,360.88235294117646,26.0,4.524230769230769,117.63,347.8066243686338,0.0,0.0
2024-02-10,360.88235294117646,22.0,3.058181818181818,67.28,353.81003801095204,0.0,0.0
2024-02-11,360.88235294117646,27.0,2.9466666666666668,79.56,383.2038237730774,0.0,0.0
2024-02-12,360.88235294117646,10.0,2.246,22.46,311.1009651586611,0.0,0.0
2024-02-13,360.88235294117646,19.0,3.127894736842105,59.43,355.5612013605641,0.0,0.0
2024-02-14,360.88235294117646,24.0,6.978333333333334,167.48000000000002,354.0576845113007,0.0,0.0
2024-02-15,360.88235294117646,34.0,9.39205882352941,319.33,349.1740662518746,0.0,0.0
2024-02-16,360.88235294117646,32.0,4.28625,137.16,340.4891160824322,0.0,0.0
2024-02-17,360.88235294117646,42.0,3.6126190476190474,151.73,377.585675367179,0.0,0.0
2024-02-18,360.88235294117646,5.0,2.572,12.86,245.13754366312173,0.0,0.0
2024-02-19,360.88235294117646,1.0,0.5,0.5,291.0131647551996,0.0,0.0
2024-02-20,360.88235294117646,9.0,6.302222222222222,56.72,331.4092141927154,0.0,0.0
2024-02-21,360.88235294117646,19.0,3.2942105263157897,62.59,339.8262892106415,0.0,0.0
2024-02-22,360.88235294117646,29.0,5.470344827586207,158.64000000000001,355.56085006370006,0.0,0.0
2024-02-23,360.88235294117646,34.0,5.474705882352941,186.14,357.85615208659283,0.0,0.0
2024-02-24,360.88235294117646,23.0,3.3121739130434786,76.18,342.74194687865145,0.0,0.0
2024-02-25,360.88235294117646,11.0,11.234545454545454,123.58,393.7796858878871,0.0,0.0
2024-02-26,360.88235294117646,6.0,4.8,28.799999999999997,322.5007422920871,0.0,0.0
2024-02-27,360.88235294117646,19.0,3.0436842105263158,57.83,384.649664783166,0.0,0.0
2024-02-28,360.88235294117646,36.0,3.3155555555555556,119.36,336.0994260453924,0.0,0.0
2024-02-29,360.88235294117646,24.0,4.323333333333333,103.75999999999999,344.46747049474857,0.0,0.0
