season,n_days_with_transport,r,p,ci_low,ci_high
DJF,309,0.061527523327042435,0.2809473735655472,-0.06910390164314187,0.20697055026246802
MAM,359,0.17466480649103983,0.0008890584956620538,0.11258303880920098,0.24155533481802532
JJA,270,0.2998575620125427,5.159101958178523e-07,0.18027580427398845,0.42558295861474293
SON,342,0.27514441053600447,2.3433884224017233e-07,0.20439268265196137,0.35125698355203233
