experiment,model,rmse,mae
feature_reduction,LinearRegression,48.06195659018107,25.158445361703556
feature_reduction,RandomForest,31.526110856088522,21.63325136612022
cleaning_normalization,ElasticNet,37.65532176748667,28.228599353510056
cleaning_normalization,GradientBoosting,31.8936775793155,23.7698550077218
model_exploration,SVR,91.16115305777767,75.05596188178961
model_exploration,HistGB,32.888401313050196,24.004319033893868
model_exploration,RF_tuned,29.93931101795237,20.540075929042256
time_series_ar,GB_AR,56.10854680025589,42.54438974747211
time_series_ar,GB_AR_roll,56.10854680025589,42.54438974747211
