model,rmse,mae,best_params
HistGB_optuna,30.573390637814576,21.783180937124843,"{'learning_rate': 0.015736507932657535, 'max_iter': 537, 'max_depth': 3, 'min_samples_leaf': 13, 'l2_regularization': 0.09600018296639787, 'max_bins': 150}"
LightGBM_optuna,34.13862956757171,24.724088544647227,"{'num_leaves': 17, 'learning_rate': 0.015088691406128611, 'n_estimators': 1626, 'min_child_samples': 5, 'subsample': 0.7330949718714018, 'subsample_freq': 2, 'colsample_bytree': 0.8316538322481921, 'reg_alpha': 1.0684774614427359e-08, 'reg_lambda': 0.02653585372372143}"
